,Unnamed: 0,country,iso_code,date,daily_vaccinations,daily_vaccinations_per_million
0,0,Afghanistan,AFG,2021-02-22,No Data,No Data
1,1,Afghanistan,AFG,2021-02-23,1367,35
2,2,Afghanistan,AFG,2021-02-24,1367,35
3,3,Afghanistan,AFG,2021-02-25,1367,35
4,4,Afghanistan,AFG,2021-02-26,1367,35
5,5,Afghanistan,AFG,2021-02-27,1367,35
6,6,Afghanistan,AFG,2021-02-28,1367,35
7,7,Afghanistan,AFG,2021-03-01,1580,41
8,8,Afghanistan,AFG,2021-03-02,1794,46
9,9,Afghanistan,AFG,2021-03-03,2008,52
10,10,Afghanistan,AFG,2021-03-04,2221,57
11,11,Afghanistan,AFG,2021-03-05,2435,63
12,12,Afghanistan,AFG,2021-03-06,2649,68
13,13,Afghanistan,AFG,2021-03-07,2862,74
14,14,Afghanistan,AFG,2021-03-08,2862,74
15,15,Afghanistan,AFG,2021-03-09,2862,74
16,16,Afghanistan,AFG,2021-03-10,2862,74
17,17,Afghanistan,AFG,2021-03-11,2862,74
18,18,Afghanistan,AFG,2021-03-12,2862,74
19,19,Afghanistan,AFG,2021-03-13,2862,74
20,20,Afghanistan,AFG,2021-03-14,2862,74
21,21,Afghanistan,AFG,2021-03-15,2862,74
22,22,Afghanistan,AFG,2021-03-16,2862,74
23,23,Afghanistan,AFG,2021-03-17,2882,74
24,24,Afghanistan,AFG,2021-03-18,2902,75
25,25,Afghanistan,AFG,2021-03-19,2921,75
26,26,Afghanistan,AFG,2021-03-20,2941,76
27,27,Afghanistan,AFG,2021-03-21,2961,76
28,28,Afghanistan,AFG,2021-03-22,2980,77
29,29,Afghanistan,AFG,2021-03-23,3000,77
30,30,Afghanistan,AFG,2021-03-24,3000,77
31,31,Afghanistan,AFG,2021-03-25,3000,77
32,32,Afghanistan,AFG,2021-03-26,3000,77
33,33,Afghanistan,AFG,2021-03-27,3000,77
34,34,Afghanistan,AFG,2021-03-28,3000,77
35,35,Afghanistan,AFG,2021-03-29,3000,77
36,36,Afghanistan,AFG,2021-03-30,3000,77
37,37,Afghanistan,AFG,2021-03-31,3000,77
38,38,Afghanistan,AFG,2021-04-01,3000,77
39,39,Afghanistan,AFG,2021-04-02,3000,77
40,40,Afghanistan,AFG,2021-04-03,3000,77
41,41,Afghanistan,AFG,2021-04-04,3000,77
42,42,Afghanistan,AFG,2021-04-05,3000,77
43,43,Afghanistan,AFG,2021-04-06,3000,77
44,44,Afghanistan,AFG,2021-04-07,3000,77
45,45,Afghanistan,AFG,2021-04-08,3714,95
46,46,Afghanistan,AFG,2021-04-09,4429,114
47,47,Afghanistan,AFG,2021-04-10,5143,132
48,48,Afghanistan,AFG,2021-04-11,5857,150
49,49,Afghanistan,AFG,2021-04-12,6571,169
50,50,Afghanistan,AFG,2021-04-13,7286,187
51,51,Afghanistan,AFG,2021-04-14,8000,206
52,52,Afghanistan,AFG,2021-04-15,8000,206
53,53,Afghanistan,AFG,2021-04-16,8000,206
54,54,Afghanistan,AFG,2021-04-17,8000,206
55,55,Afghanistan,AFG,2021-04-18,8000,206
56,56,Afghanistan,AFG,2021-04-19,8000,206
57,57,Afghanistan,AFG,2021-04-20,8000,206
58,58,Afghanistan,AFG,2021-04-21,8000,206
59,59,Afghanistan,AFG,2021-04-22,8000,206
60,60,Africa,OWID_AFR,2021-01-09,No Data,No Data
61,61,Africa,OWID_AFR,2021-01-10,500,0
62,62,Africa,OWID_AFR,2021-01-11,500,0
63,63,Africa,OWID_AFR,2021-01-12,500,0
64,64,Africa,OWID_AFR,2021-01-13,500,0
65,65,Africa,OWID_AFR,2021-01-14,600,0
66,66,Africa,OWID_AFR,2021-01-15,667,0
67,67,Africa,OWID_AFR,2021-01-16,1000,1
68,68,Africa,OWID_AFR,2021-01-17,1118,1
69,69,Africa,OWID_AFR,2021-01-18,1236,1
70,70,Africa,OWID_AFR,2021-01-19,1354,1
71,71,Africa,OWID_AFR,2021-01-20,1595,1
72,72,Africa,OWID_AFR,2021-01-21,1718,1
73,73,Africa,OWID_AFR,2021-01-22,1841,1
74,74,Africa,OWID_AFR,2021-01-23,1622,1
75,75,Africa,OWID_AFR,2021-01-24,1433,1
76,76,Africa,OWID_AFR,2021-01-25,1463,1
77,77,Africa,OWID_AFR,2021-01-26,1677,1
78,78,Africa,OWID_AFR,2021-01-27,1775,1
79,79,Africa,OWID_AFR,2021-01-28,1965,1
80,80,Africa,OWID_AFR,2021-01-29,1996,1
81,81,Africa,OWID_AFR,2021-01-30,14836,11
82,82,Africa,OWID_AFR,2021-01-31,19979,15
83,83,Africa,OWID_AFR,2021-02-01,30975,23
84,84,Africa,OWID_AFR,2021-02-02,38916,29
85,85,Africa,OWID_AFR,2021-02-03,45937,34
86,86,Africa,OWID_AFR,2021-02-04,51671,39
87,87,Africa,OWID_AFR,2021-02-05,59446,44
88,88,Africa,OWID_AFR,2021-02-06,54656,41
89,89,Africa,OWID_AFR,2021-02-07,55849,42
90,90,Africa,OWID_AFR,2021-02-08,50970,38
91,91,Africa,OWID_AFR,2021-02-09,52305,39
92,92,Africa,OWID_AFR,2021-02-10,64098,48
93,93,Africa,OWID_AFR,2021-02-11,74046,55
94,94,Africa,OWID_AFR,2021-02-12,102656,77
95,95,Africa,OWID_AFR,2021-02-13,134483,100
96,96,Africa,OWID_AFR,2021-02-14,151062,113
97,97,Africa,OWID_AFR,2021-02-15,167642,125
98,98,Africa,OWID_AFR,2021-02-16,186365,139
99,99,Africa,OWID_AFR,2021-02-17,193118,144
100,100,Africa,OWID_AFR,2021-02-18,199310,149
101,101,Africa,OWID_AFR,2021-02-19,192631,144
102,102,Africa,OWID_AFR,2021-02-20,167250,125
103,103,Africa,OWID_AFR,2021-02-21,145119,108
104,104,Africa,OWID_AFR,2021-02-22,139843,104
105,105,Africa,OWID_AFR,2021-02-23,126935,95
106,106,Africa,OWID_AFR,2021-02-24,143698,107
107,107,Africa,OWID_AFR,2021-02-25,161558,121
108,108,Africa,OWID_AFR,2021-02-26,166218,124
109,109,Africa,OWID_AFR,2021-02-27,178477,133
110,110,Africa,OWID_AFR,2021-02-28,178796,133
111,111,Africa,OWID_AFR,2021-03-01,192279,143
112,112,Africa,OWID_AFR,2021-03-02,199773,149
113,113,Africa,OWID_AFR,2021-03-03,181517,135
114,114,Africa,OWID_AFR,2021-03-04,162184,121
115,115,Africa,OWID_AFR,2021-03-05,161529,120
116,116,Africa,OWID_AFR,2021-03-06,163847,122
117,117,Africa,OWID_AFR,2021-03-07,168558,126
118,118,Africa,OWID_AFR,2021-03-08,187189,140
119,119,Africa,OWID_AFR,2021-03-09,184261,137
120,120,Africa,OWID_AFR,2021-03-10,208376,155
121,121,Africa,OWID_AFR,2021-03-11,214435,160
122,122,Africa,OWID_AFR,2021-03-12,224714,168
123,123,Africa,OWID_AFR,2021-03-13,253097,189
124,124,Africa,OWID_AFR,2021-03-14,249643,186
125,125,Africa,OWID_AFR,2021-03-15,256037,191
126,126,Africa,OWID_AFR,2021-03-16,269616,201
127,127,Africa,OWID_AFR,2021-03-17,249830,186
128,128,Africa,OWID_AFR,2021-03-18,249692,186
129,129,Africa,OWID_AFR,2021-03-19,245808,183
130,130,Africa,OWID_AFR,2021-03-20,201338,150
131,131,Africa,OWID_AFR,2021-03-21,202056,151
132,132,Africa,OWID_AFR,2021-03-22,163371,122
133,133,Africa,OWID_AFR,2021-03-23,150620,112
134,134,Africa,OWID_AFR,2021-03-24,255536,191
135,135,Africa,OWID_AFR,2021-03-25,269844,201
136,136,Africa,OWID_AFR,2021-03-26,267800,200
137,137,Africa,OWID_AFR,2021-03-27,301154,225
138,138,Africa,OWID_AFR,2021-03-28,335054,250
139,139,Africa,OWID_AFR,2021-03-29,348008,260
140,140,Africa,OWID_AFR,2021-03-30,355231,265
141,141,Africa,OWID_AFR,2021-03-31,293505,219
142,142,Africa,OWID_AFR,2021-04-01,288646,215
143,143,Africa,OWID_AFR,2021-04-02,272251,203
144,144,Africa,OWID_AFR,2021-04-03,245023,183
145,145,Africa,OWID_AFR,2021-04-04,217181,162
146,146,Africa,OWID_AFR,2021-04-05,208693,156
147,147,Africa,OWID_AFR,2021-04-06,229052,171
148,148,Africa,OWID_AFR,2021-04-07,212649,159
149,149,Africa,OWID_AFR,2021-04-08,281207,210
150,150,Africa,OWID_AFR,2021-04-09,281394,210
151,151,Africa,OWID_AFR,2021-04-10,284921,213
152,152,Africa,OWID_AFR,2021-04-11,297126,222
153,153,Africa,OWID_AFR,2021-04-12,290828,217
154,154,Africa,OWID_AFR,2021-04-13,256563,191
155,155,Africa,OWID_AFR,2021-04-14,252449,188
156,156,Africa,OWID_AFR,2021-04-15,165359,123
157,157,Africa,OWID_AFR,2021-04-16,175811,131
158,158,Africa,OWID_AFR,2021-04-17,195606,146
159,159,Africa,OWID_AFR,2021-04-18,255362,190
160,160,Africa,OWID_AFR,2021-04-19,270574,202
161,161,Africa,OWID_AFR,2021-04-20,280125,209
162,162,Africa,OWID_AFR,2021-04-21,257085,192
163,163,Africa,OWID_AFR,2021-04-22,254301,190
164,164,Africa,OWID_AFR,2021-04-23,247496,185
165,165,Africa,OWID_AFR,2021-04-24,212712,159
166,166,Africa,OWID_AFR,2021-04-25,142667,106
167,167,Africa,OWID_AFR,2021-04-26,121259,90
168,168,Africa,OWID_AFR,2021-04-27,116583,87
169,169,Albania,ALB,2021-01-10,No Data,No Data
170,170,Albania,ALB,2021-01-11,64,22
171,171,Albania,ALB,2021-01-12,64,22
172,172,Albania,ALB,2021-01-13,63,22
173,173,Albania,ALB,2021-01-14,66,23
174,174,Albania,ALB,2021-01-15,62,22
175,175,Albania,ALB,2021-01-16,62,22
176,176,Albania,ALB,2021-01-17,58,20
177,177,Albania,ALB,2021-01-18,55,19
178,178,Albania,ALB,2021-01-19,51,18
179,179,Albania,ALB,2021-01-20,47,16
180,180,Albania,ALB,2021-01-21,40,14
181,181,Albania,ALB,2021-01-22,34,12
182,182,Albania,ALB,2021-01-23,26,9
183,183,Albania,ALB,2021-01-24,21,7
184,184,Albania,ALB,2021-01-25,15,5
185,185,Albania,ALB,2021-01-26,9,3
186,186,Albania,ALB,2021-01-27,4,1
187,187,Albania,ALB,2021-01-28,0,0
188,188,Albania,ALB,2021-01-29,0,0
189,189,Albania,ALB,2021-01-30,0,0
190,190,Albania,ALB,2021-01-31,0,0
191,191,Albania,ALB,2021-02-01,0,0
192,192,Albania,ALB,2021-02-02,0,0
193,193,Albania,ALB,2021-02-03,12,4
194,194,Albania,ALB,2021-02-04,24,8
195,195,Albania,ALB,2021-02-05,35,12
196,196,Albania,ALB,2021-02-06,47,16
197,197,Albania,ALB,2021-02-07,59,21
198,198,Albania,ALB,2021-02-08,71,25
199,199,Albania,ALB,2021-02-09,82,28
200,200,Albania,ALB,2021-02-10,81,28
201,201,Albania,ALB,2021-02-11,79,27
202,202,Albania,ALB,2021-02-12,78,27
203,203,Albania,ALB,2021-02-13,76,26
204,204,Albania,ALB,2021-02-14,75,26
205,205,Albania,ALB,2021-02-15,73,25
206,206,Albania,ALB,2021-02-16,72,25
207,207,Albania,ALB,2021-02-17,72,25
208,208,Albania,ALB,2021-02-18,254,88
209,209,Albania,ALB,2021-02-19,405,141
210,210,Albania,ALB,2021-02-20,516,179
211,211,Albania,ALB,2021-02-21,627,218
212,212,Albania,ALB,2021-02-22,739,257
213,213,Albania,ALB,2021-02-23,891,310
214,214,Albania,ALB,2021-02-24,1043,362
215,215,Albania,ALB,2021-02-25,1012,352
216,216,Albania,ALB,2021-02-26,1000,347
217,217,Albania,ALB,2021-02-27,1027,357
218,218,Albania,ALB,2021-02-28,1054,366
219,219,Albania,ALB,2021-03-01,1081,376
220,220,Albania,ALB,2021-03-02,1026,357
221,221,Albania,ALB,2021-03-03,971,337
222,222,Albania,ALB,2021-03-04,927,322
223,223,Albania,ALB,2021-03-05,897,312
224,224,Albania,ALB,2021-03-06,867,301
225,225,Albania,ALB,2021-03-07,838,291
226,226,Albania,ALB,2021-03-08,808,281
227,227,Albania,ALB,2021-03-09,820,285
228,228,Albania,ALB,2021-03-10,831,289
229,229,Albania,ALB,2021-03-11,857,298
230,230,Albania,ALB,2021-03-12,883,307
231,231,Albania,ALB,2021-03-13,1042,362
232,232,Albania,ALB,2021-03-14,1201,417
233,233,Albania,ALB,2021-03-15,1361,473
234,234,Albania,ALB,2021-03-16,1520,528
235,235,Albania,ALB,2021-03-17,1679,583
236,236,Albania,ALB,2021-03-18,1960,681
237,237,Albania,ALB,2021-03-19,2240,778
238,238,Albania,ALB,2021-03-20,2386,829
239,239,Albania,ALB,2021-03-21,2533,880
240,240,Albania,ALB,2021-03-22,2679,931
241,241,Albania,ALB,2021-03-23,2895,1006
242,242,Albania,ALB,2021-03-24,2946,1024
243,243,Albania,ALB,2021-03-25,3287,1142
244,244,Albania,ALB,2021-03-26,3276,1138
245,245,Albania,ALB,2021-03-27,3113,1082
246,246,Albania,ALB,2021-03-28,4678,1626
247,247,Albania,ALB,2021-03-29,7204,2503
248,248,Albania,ALB,2021-03-30,9662,3357
249,249,Albania,ALB,2021-03-31,12122,4212
250,250,Albania,ALB,2021-04-01,13731,4771
251,251,Albania,ALB,2021-04-02,15748,5472
252,252,Albania,ALB,2021-04-03,17346,6028
253,253,Albania,ALB,2021-04-04,16412,5703
254,254,Albania,ALB,2021-04-05,15435,5363
255,255,Albania,ALB,2021-04-06,14610,5077
256,256,Albania,ALB,2021-04-07,13362,4643
257,257,Albania,ALB,2021-04-08,12440,4323
258,258,Albania,ALB,2021-04-09,11170,3881
259,259,Albania,ALB,2021-04-10,10188,3540
260,260,Albania,ALB,2021-04-11,9898,3439
261,261,Albania,ALB,2021-04-12,8689,3019
262,262,Albania,ALB,2021-04-13,8518,2960
263,263,Albania,ALB,2021-04-14,8639,3002
264,264,Albania,ALB,2021-04-15,8849,3075
265,265,Albania,ALB,2021-04-16,9135,3174
266,266,Albania,ALB,2021-04-17,9719,3377
267,267,Albania,ALB,2021-04-18,10105,3511
268,268,Albania,ALB,2021-04-19,11200,3892
269,269,Albania,ALB,2021-04-20,9826,3414
270,270,Albania,ALB,2021-04-21,11318,3933
271,271,Albania,ALB,2021-04-22,11216,3897
272,272,Albania,ALB,2021-04-23,10961,3809
273,273,Albania,ALB,2021-04-24,10746,3734
274,274,Algeria,DZA,2021-01-29,No Data,No Data
275,275,Algeria,DZA,2021-01-30,30,1
276,276,Algeria,DZA,2021-01-31,1889,43
277,277,Algeria,DZA,2021-02-01,2509,57
278,278,Algeria,DZA,2021-02-02,2819,64
279,279,Algeria,DZA,2021-02-03,3005,69
280,280,Algeria,DZA,2021-02-04,3129,71
281,281,Algeria,DZA,2021-02-05,3217,73
282,282,Algeria,DZA,2021-02-06,3748,85
283,283,Algeria,DZA,2021-02-07,3748,85
284,284,Algeria,DZA,2021-02-08,3748,85
285,285,Algeria,DZA,2021-02-09,3748,85
286,286,Algeria,DZA,2021-02-10,3748,85
287,287,Algeria,DZA,2021-02-11,3748,85
288,288,Algeria,DZA,2021-02-12,3748,85
289,289,Algeria,DZA,2021-02-13,3748,85
290,290,Algeria,DZA,2021-02-14,3748,85
291,291,Algeria,DZA,2021-02-15,3748,85
292,292,Algeria,DZA,2021-02-16,3748,85
293,293,Algeria,DZA,2021-02-17,3748,85
294,294,Algeria,DZA,2021-02-18,3748,85
295,295,Algeria,DZA,2021-02-19,3748,85
296,296,Andorra,AND,2021-01-25,No Data,No Data
297,297,Andorra,AND,2021-01-26,66,854
298,298,Andorra,AND,2021-01-27,66,854
299,299,Andorra,AND,2021-01-28,66,854
300,300,Andorra,AND,2021-01-29,66,854
301,301,Andorra,AND,2021-01-30,66,854
302,302,Andorra,AND,2021-01-31,66,854
303,303,Andorra,AND,2021-02-01,66,854
304,304,Andorra,AND,2021-02-02,60,777
305,305,Andorra,AND,2021-02-03,55,712
306,306,Andorra,AND,2021-02-04,50,647
307,307,Andorra,AND,2021-02-05,44,569
308,308,Andorra,AND,2021-02-06,39,505
309,309,Andorra,AND,2021-02-07,34,440
310,310,Andorra,AND,2021-02-08,28,362
311,311,Andorra,AND,2021-02-09,28,362
312,312,Andorra,AND,2021-02-10,28,362
313,313,Andorra,AND,2021-02-11,48,621
314,314,Andorra,AND,2021-02-12,68,880
315,315,Andorra,AND,2021-02-13,74,958
316,316,Andorra,AND,2021-02-14,81,1048
317,317,Andorra,AND,2021-02-15,87,1126
318,318,Andorra,AND,2021-02-16,94,1217
319,319,Andorra,AND,2021-02-17,100,1294
320,320,Andorra,AND,2021-02-18,87,1126
321,321,Andorra,AND,2021-02-19,74,958
322,322,Andorra,AND,2021-02-20,71,919
323,323,Andorra,AND,2021-02-21,67,867
324,324,Andorra,AND,2021-02-22,64,828
325,325,Andorra,AND,2021-02-23,60,777
326,326,Andorra,AND,2021-02-24,57,738
327,327,Andorra,AND,2021-02-25,56,725
328,328,Andorra,AND,2021-02-26,55,712
329,329,Andorra,AND,2021-02-27,63,815
330,330,Andorra,AND,2021-02-28,72,932
331,331,Andorra,AND,2021-03-01,80,1035
332,332,Andorra,AND,2021-03-02,89,1152
333,333,Andorra,AND,2021-03-03,97,1255
334,334,Andorra,AND,2021-03-04,103,1333
335,335,Andorra,AND,2021-03-05,108,1398
336,336,Andorra,AND,2021-03-06,108,1398
337,337,Andorra,AND,2021-03-07,108,1398
338,338,Andorra,AND,2021-03-08,108,1398
339,339,Andorra,AND,2021-03-09,186,2407
340,340,Andorra,AND,2021-03-10,264,3417
341,341,Andorra,AND,2021-03-11,347,4491
342,342,Andorra,AND,2021-03-12,430,5565
343,343,Andorra,AND,2021-03-13,513,6639
344,344,Andorra,AND,2021-03-14,596,7714
345,345,Andorra,AND,2021-03-15,679,8788
346,346,Andorra,AND,2021-03-16,619,8011
347,347,Andorra,AND,2021-03-17,559,7235
348,348,Andorra,AND,2021-03-18,493,6381
349,349,Andorra,AND,2021-03-19,428,5539
350,350,Andorra,AND,2021-03-20,357,4620
351,351,Andorra,AND,2021-03-21,287,3714
352,352,Andorra,AND,2021-03-22,217,2809
353,353,Andorra,AND,2021-03-23,212,2744
354,354,Andorra,AND,2021-03-24,207,2679
355,355,Andorra,AND,2021-03-25,202,2614
356,356,Andorra,AND,2021-03-26,197,2550
357,357,Andorra,AND,2021-03-27,197,2550
358,358,Andorra,AND,2021-03-28,197,2550
359,359,Andorra,AND,2021-03-29,197,2550
360,360,Andorra,AND,2021-03-30,197,2550
361,361,Andorra,AND,2021-03-31,197,2550
362,362,Andorra,AND,2021-04-01,197,2550
363,363,Andorra,AND,2021-04-02,197,2550
364,364,Andorra,AND,2021-04-03,197,2550
365,365,Andorra,AND,2021-04-04,197,2550
366,366,Andorra,AND,2021-04-05,573,7416
367,367,Andorra,AND,2021-04-06,588,7610
368,368,Andorra,AND,2021-04-07,603,7804
369,369,Andorra,AND,2021-04-08,619,8011
370,370,Andorra,AND,2021-04-09,634,8206
371,371,Andorra,AND,2021-04-10,649,8400
372,372,Andorra,AND,2021-04-11,664,8594
373,373,Andorra,AND,2021-04-12,542,7015
374,374,Andorra,AND,2021-04-13,649,8400
375,375,Andorra,AND,2021-04-14,755,9772
376,376,Andorra,AND,2021-04-15,862,11156
377,377,Andorra,AND,2021-04-16,969,12541
378,378,Andorra,AND,2021-04-17,1075,13913
379,379,Andorra,AND,2021-04-18,1182,15298
380,380,Andorra,AND,2021-04-19,1050,13590
381,381,Angola,AGO,2021-03-01,No Data,No Data
382,382,Angola,AGO,2021-03-02,881,27
383,383,Angola,AGO,2021-03-03,881,27
384,384,Angola,AGO,2021-03-04,881,27
385,385,Angola,AGO,2021-03-05,881,27
386,386,Angola,AGO,2021-03-06,881,27
387,387,Angola,AGO,2021-03-07,881,27
388,388,Angola,AGO,2021-03-08,881,27
389,389,Angola,AGO,2021-03-09,1367,42
390,390,Angola,AGO,2021-03-10,1853,56
391,391,Angola,AGO,2021-03-11,2339,71
392,392,Angola,AGO,2021-03-12,2825,86
393,393,Angola,AGO,2021-03-13,3311,101
394,394,Angola,AGO,2021-03-14,3797,116
395,395,Angola,AGO,2021-03-15,4283,130
396,396,Angola,AGO,2021-03-16,4283,130
397,397,Angola,AGO,2021-03-17,4283,130
398,398,Angola,AGO,2021-03-18,4283,130
399,399,Angola,AGO,2021-03-19,4577,139
400,400,Angola,AGO,2021-03-20,4870,148
401,401,Angola,AGO,2021-03-21,5163,157
402,402,Angola,AGO,2021-03-22,5457,166
403,403,Angola,AGO,2021-03-23,5750,175
404,404,Angola,AGO,2021-03-24,6044,184
405,405,Angola,AGO,2021-03-25,6681,203
406,406,Angola,AGO,2021-03-26,7025,214
407,407,Angola,AGO,2021-03-27,7369,224
408,408,Angola,AGO,2021-03-28,7713,235
409,409,Angola,AGO,2021-03-29,8057,245
410,410,Angola,AGO,2021-03-30,8060,245
411,411,Angola,AGO,2021-03-31,8062,245
412,412,Angola,AGO,2021-04-01,7720,235
413,413,Angola,AGO,2021-04-02,7379,225
414,414,Angola,AGO,2021-04-03,7037,214
415,415,Angola,AGO,2021-04-04,6695,204
416,416,Angola,AGO,2021-04-05,6354,193
417,417,Angola,AGO,2021-04-06,6354,193
418,418,Angola,AGO,2021-04-07,7271,221
419,419,Angola,AGO,2021-04-08,8188,249
420,420,Angola,AGO,2021-04-09,9105,277
421,421,Angola,AGO,2021-04-10,10022,305
422,422,Angola,AGO,2021-04-11,10939,333
423,423,Angola,AGO,2021-04-12,12710,387
424,424,Angola,AGO,2021-04-13,14481,441
425,425,Angola,AGO,2021-04-14,15335,467
426,426,Angola,AGO,2021-04-15,16189,493
427,427,Angola,AGO,2021-04-16,17043,519
428,428,Angola,AGO,2021-04-17,17897,545
429,429,Angola,AGO,2021-04-18,18751,571
430,430,Angola,AGO,2021-04-19,18751,571
431,431,Angola,AGO,2021-04-20,18247,555
432,432,Angola,AGO,2021-04-21,17743,540
433,433,Angola,AGO,2021-04-22,17240,525
434,434,Angola,AGO,2021-04-23,16736,509
435,435,Anguilla,AIA,2021-02-04,No Data,No Data
436,436,Anguilla,AIA,2021-02-05,149,9932
437,437,Anguilla,AIA,2021-02-06,149,9932
438,438,Anguilla,AIA,2021-02-07,149,9932
439,439,Anguilla,AIA,2021-02-08,149,9932
440,440,Anguilla,AIA,2021-02-09,149,9932
441,441,Anguilla,AIA,2021-02-10,149,9932
442,442,Anguilla,AIA,2021-02-11,149,9932
443,443,Anguilla,AIA,2021-02-12,149,9932
444,444,Anguilla,AIA,2021-02-13,149,9932
445,445,Anguilla,AIA,2021-02-14,331,22064
446,446,Anguilla,AIA,2021-02-15,323,21530
447,447,Anguilla,AIA,2021-02-16,316,21064
448,448,Anguilla,AIA,2021-02-17,309,20597
449,449,Anguilla,AIA,2021-02-18,301,20064
450,450,Anguilla,AIA,2021-02-19,294,19597
451,451,Anguilla,AIA,2021-02-20,286,19064
452,452,Anguilla,AIA,2021-02-21,97,6466
453,453,Anguilla,AIA,2021-02-22,97,6466
454,454,Anguilla,AIA,2021-02-23,97,6466
455,455,Anguilla,AIA,2021-02-24,97,6466
456,456,Anguilla,AIA,2021-02-25,97,6466
457,457,Anguilla,AIA,2021-02-26,97,6466
458,458,Anguilla,AIA,2021-02-27,93,6199
459,459,Anguilla,AIA,2021-02-28,89,5933
460,460,Anguilla,AIA,2021-03-01,86,5733
461,461,Anguilla,AIA,2021-03-02,82,5466
462,462,Anguilla,AIA,2021-03-03,78,5199
463,463,Anguilla,AIA,2021-03-04,74,4933
464,464,Anguilla,AIA,2021-03-05,70,4666
465,465,Anguilla,AIA,2021-03-06,70,4666
466,466,Anguilla,AIA,2021-03-07,70,4666
467,467,Anguilla,AIA,2021-03-08,70,4666
468,468,Anguilla,AIA,2021-03-09,70,4666
469,469,Anguilla,AIA,2021-03-10,71,4733
470,470,Anguilla,AIA,2021-03-11,71,4733
471,471,Anguilla,AIA,2021-03-12,72,4799
472,472,Anguilla,AIA,2021-03-13,73,4866
473,473,Anguilla,AIA,2021-03-14,71,4733
474,474,Anguilla,AIA,2021-03-15,69,4599
475,475,Anguilla,AIA,2021-03-16,68,4533
476,476,Anguilla,AIA,2021-03-17,65,4333
477,477,Anguilla,AIA,2021-03-18,63,4199
478,478,Anguilla,AIA,2021-03-19,60,3999
479,479,Anguilla,AIA,2021-03-20,53,3533
480,480,Anguilla,AIA,2021-03-21,47,3133
481,481,Anguilla,AIA,2021-03-22,42,2800
482,482,Anguilla,AIA,2021-03-23,36,2400
483,483,Anguilla,AIA,2021-03-24,31,2066
484,484,Anguilla,AIA,2021-03-25,26,1733
485,485,Anguilla,AIA,2021-03-26,20,1333
486,486,Anguilla,AIA,2021-03-27,20,1333
487,487,Anguilla,AIA,2021-03-28,20,1333
488,488,Anguilla,AIA,2021-03-29,20,1333
489,489,Anguilla,AIA,2021-03-30,20,1333
490,490,Anguilla,AIA,2021-03-31,20,1333
491,491,Anguilla,AIA,2021-04-01,20,1333
492,492,Anguilla,AIA,2021-04-02,20,1333
493,493,Anguilla,AIA,2021-04-03,20,1333
494,494,Anguilla,AIA,2021-04-04,20,1333
495,495,Anguilla,AIA,2021-04-05,20,1333
496,496,Anguilla,AIA,2021-04-06,20,1333
497,497,Anguilla,AIA,2021-04-07,20,1333
498,498,Anguilla,AIA,2021-04-08,20,1333
499,499,Anguilla,AIA,2021-04-09,20,1333
500,500,Anguilla,AIA,2021-04-10,20,1333
501,501,Anguilla,AIA,2021-04-11,20,1333
502,502,Anguilla,AIA,2021-04-12,20,1333
503,503,Anguilla,AIA,2021-04-13,33,2200
504,504,Anguilla,AIA,2021-04-14,45,3000
505,505,Anguilla,AIA,2021-04-15,57,3799
506,506,Anguilla,AIA,2021-04-16,69,4599
507,507,Anguilla,AIA,2021-04-17,82,5466
508,508,Anguilla,AIA,2021-04-18,94,6266
509,509,Anguilla,AIA,2021-04-19,106,7066
510,510,Anguilla,AIA,2021-04-20,106,7066
511,511,Anguilla,AIA,2021-04-21,106,7066
512,512,Anguilla,AIA,2021-04-22,106,7066
513,513,Antigua and Barbuda,ATG,2021-02-16,No Data,No Data
514,514,Antigua and Barbuda,ATG,2021-02-17,895,9139
515,515,Antigua and Barbuda,ATG,2021-02-18,895,9139
516,516,Antigua and Barbuda,ATG,2021-02-19,895,9139
517,517,Antigua and Barbuda,ATG,2021-02-20,895,9139
518,518,Antigua and Barbuda,ATG,2021-02-21,895,9139
519,519,Antigua and Barbuda,ATG,2021-02-22,895,9139
520,520,Antigua and Barbuda,ATG,2021-02-23,895,9139
521,521,Antigua and Barbuda,ATG,2021-02-24,895,9139
522,522,Antigua and Barbuda,ATG,2021-02-25,895,9139
523,523,Antigua and Barbuda,ATG,2021-02-26,895,9139
524,524,Antigua and Barbuda,ATG,2021-02-27,895,9139
525,525,Antigua and Barbuda,ATG,2021-02-28,895,9139
526,526,Antigua and Barbuda,ATG,2021-03-01,895,9139
527,527,Antigua and Barbuda,ATG,2021-03-02,895,9139
528,528,Antigua and Barbuda,ATG,2021-03-03,895,9139
529,529,Antigua and Barbuda,ATG,2021-03-04,895,9139
530,530,Antigua and Barbuda,ATG,2021-03-05,895,9139
531,531,Antigua and Barbuda,ATG,2021-03-06,895,9139
532,532,Antigua and Barbuda,ATG,2021-03-07,895,9139
533,533,Antigua and Barbuda,ATG,2021-03-08,895,9139
534,534,Antigua and Barbuda,ATG,2021-03-09,895,9139
535,535,Antigua and Barbuda,ATG,2021-03-10,895,9139
536,536,Antigua and Barbuda,ATG,2021-03-11,895,9139
537,537,Antigua and Barbuda,ATG,2021-03-12,895,9139
538,538,Antigua and Barbuda,ATG,2021-03-13,895,9139
539,539,Antigua and Barbuda,ATG,2021-03-14,895,9139
540,540,Antigua and Barbuda,ATG,2021-03-15,895,9139
